"intercept.one","intercept.two","precens.surv","fruit.disp","seed.num","kid.mean","kid.sd","f.alpha","f.beta","f.sigma.plot","g.alpha","g.beta","g.eps","g.sigma.plot","pf.alpha","pf.beta","pf.sigma.plot","s.alpha","s.beta","s.sigma.plot","sigma.year","sigma.yr.1.","sigma.yr.2.","sigma.yr.3.","sigma.yr.4.","y.beta.1.","y.beta.2.","y.beta.3.","y.beta.4."
-5.17658305462268,-5.29471911905418,-2.00615588325347,-3.30680826490422,125.9453906619,-3.06235205268718,0.589718308077406,-6.67567547315118,0.683799427906635,0.207702948463282,1.58869789131541,0.923091452927177,0.83240653906765,0.0679472330035865,-18.0506393846922,1.68324026616567,0.324644387493886,-1.12426206175336,0.402359401469541,0.00388265158350038,0.762570358471414,1.66437408116099,0.274660939773787,1.00447905432415,0.0663517265014653,1,-1,-1,1
-5.24228855405207,-5.65026564245397,-1.64239222285713,-3.20677595013727,140.598153982445,-3.29149046883732,0.705680832026821,-6.10994928207842,0.675025617862288,0.288449645693586,0.956517174105251,0.906142523701969,0.846829865011014,0.102447572527608,-18.2864751844496,1.70473415854829,0.250812344177086,0.515346581140276,0.322804983995336,0.126012701996077,0.251382527304187,1.11166791156454,0.0317328825839857,2.26369725201851,0.491318785043194,1,-1,1,1
-5.09922816812983,-5.55395966182526,-1.44380756743663,-3.7971426451193,150.567146142988,-3.28698413889233,1.22387735382284,-6.483754505191,0.711541176732212,0.295537293295797,0.806484063380548,0.918689001359983,0.838850808167776,0.0321615569558267,-20.3116650748035,1.72555499771195,0.351183700091079,0.381251288250707,0.345631003243806,0.383142331301477,0.198367961669653,1.611157189672,0.326481120817002,0.989195987858029,0.152312339219744,1,1,1,1
-5.21646975024281,-5.43841099893989,-2.49467645219143,-3.78263973889897,123.654626178576,-3.41801396795138,0.717615799545234,-5.97774855957495,0.685367202454728,0.191141606105625,0.978925171322605,0.908200323110513,0.854278226980338,0.061629878190888,-21.6519293340105,1.87771044438297,0.467298476979789,1.10397057555319,0.319886260874197,0.0785977698246075,0.222598694538374,0.746182308406173,0.188564913357612,2.6051253035855,0.530002695762652,1,-1,-1,1
-5.21579067196116,-5.46975974804946,-1.46638319771673,-3.14481070816322,104.760794601354,-3.73032184774058,0.732424998233773,-5.63857162999964,0.6576495402061,0.182449215438311,0.672919775986303,0.917702634152634,0.867058926465274,0.0383715086147863,-20.4762554416023,1.83832593952681,0.207732246445619,0.185913720755728,0.370762921754639,0.0501323430692504,0.365782723033356,0.527384319339675,0.351319037226525,1.60355168399571,0.230609343633084,1,-1,1,1
-5.18206966394321,-5.53268678043111,-1.88874069983571,-3.37627758455314,121.296734830722,-2.92471097637002,0.639953790624928,-5.75483697116015,0.669221930852522,0.225066126052767,0.7505897404658,0.897091823472362,0.840124805006553,0.0754694195074353,-19.1012649780423,1.72858485783389,0.158635062742115,1.06401587471943,0.322112052710856,0.103311411992143,0.250411932334222,0.666139127277891,0.328431297102471,1.97393432274281,0.0465098448186638,1,-1,1,1
-5.2318396213158,-5.50990494316886,-1.55097872621279,-3.78107512756384,131.140361028027,-3.19465872754684,0.619051413265291,-6.5176777408268,0.715970073248165,0.341016073302527,0.901088003881504,0.92311127593116,0.84488839269062,0.0215207527814044,-21.0883595774275,1.85183470129913,0.516474331338577,0.368656091749603,0.35256599523404,0.390978830128339,0.395690558528419,0.423161470442296,0.275796633939598,0.964674138849025,0.125411853779265,1,-1,1,1
-4.90856382263633,-5.33702817739634,-1.82213522439079,-3.42896199795757,126.073517700064,-3.26288238307133,0.452882537143527,-5.51516487068583,0.655622282664357,0.295734984769189,0.846992186711572,0.920134161536476,0.8571748324166,0.0534490562180003,-20.4249835922794,1.8456219181335,0.656465367429489,-0.0322395663241685,0.373429996294721,0.0541813584634752,0.197162675607982,1.06744052633033,0.215999102569688,2.00609367432641,0.30430698498986,-1,-1,-1,1
-5.36862473779035,-5.57876944279252,-2.04187055115341,-3.73153422765492,121.648620247486,-3.26914763738,0.674486874450577,-6.68300670403458,0.727061677519814,0.253908438682426,0.596672207428052,0.918941301827659,0.833962014150692,0.0628809401959358,-21.4435204769351,1.86787405713516,0.615311751442261,1.12863349227177,0.377182851319924,0.474927407098065,0.220398656419362,0.64762597165047,0.488161576539431,1.44333484676113,0.271585069827263,1,-1,1,1
-5.05900204358857,-5.17132695050919,-1.7460614820308,-3.31947278323588,129.778357006781,-3.16182667658793,1.01981356294595,-6.05867465224392,0.68569550988429,0.289736794600076,0.769741887172744,0.907079706715405,0.845565928216448,0.0752805251437667,-19.5040795335494,1.8085348841833,0.473603567673872,0.809778463547575,0.302457907237787,0.289504338498723,0.2478298354623,0.644268689300813,0.188582102342863,2.47770855692694,0.1844901471128,1,-1,1,1
-4.99535362248797,-5.5465054834979,-1.76695593582378,-3.72553940548495,138.421030208055,-3.12767604023982,1.19534952695998,-6.51847109705608,0.713593080233891,0.246936738493453,1.20511180146851,0.907732848696132,0.839625638511622,0.0808241882448092,-19.162752643108,1.74635647271853,0.374478182931874,0.384683987729504,0.370624174328411,0.385469124651812,0.117180679785366,0.696040749134222,0.31434080220254,1.15176211927066,0.25982043133754,1,-1,1,1
-5.31185852632899,-5.72278117501112,-1.48610317669382,-2.95978262903808,119.652779096045,-3.22792102931626,0.662772290973619,-6.70390354418719,0.710137706098454,0.192140032563694,0.813259493353011,0.914211833907826,0.862548289449933,0.0193310093069281,-20.9722931107776,1.86653105671125,0.300406792152337,0.711465005782364,0.370266182470231,0.522103688945984,0.127096653406958,0.677729689975189,0.197168181105989,1.77428253243096,0.237060153342492,-1,1,1,1
-4.96621408432674,-5.3159565623882,-1.98360453883616,-3.63494631280873,130.052197967132,-3.14573346012038,0.541141957404922,-6.34529568409884,0.707086965100263,0.166080439062079,0.999397040137148,0.912760521241158,0.839893102501732,0.100550667900003,-20.4545139338397,1.87680941853616,0.419983422593232,0.179500346676809,0.399992805732762,0.242218297726772,0.295865292754394,0.604473440219644,0.0316995497196702,2.59936161641219,0.299624240428069,1,-1,1,1
-5.0415544107882,-5.48090143512077,-1.65330127216754,-3.59363228859261,134.853332507458,-2.9035684011689,0.912509025769698,-6.11578989595621,0.6721098814485,0.389553930295661,0.870375358215119,0.928425663047031,0.841089912927596,0.0912865962930324,-17.584632291567,1.6099082716369,0.249249422359666,0.986983949769452,0.337710648141837,0.306614570917912,0.203344687088991,1.05654421069639,0.197077439643216,1.76988121849944,0.0647400376449125,1,-1,1,1
-5.24820938966516,-5.39567450605028,-2.66288520948837,-3.52611535457417,127.032209877936,-3.37060449397739,0.717740653933711,-5.94044048120118,0.645183298796902,0.321955577105941,1.08164261247347,0.895233544408579,0.858384630302277,0.0732853752808834,-20.3718481983977,1.80041773885171,0.472206258913815,0.710719741296242,0.387522835155756,0.152967446669199,0.541517194286558,0.502736155190066,0.258739355758527,1.05463537967733,0.210014161615293,1,-1,1,1
-5.19897197619822,-5.38496348369339,-1.85645933593147,-3.53782719109385,138.683412661038,-3.36580352886031,0.937178459367509,-6.8911716190858,0.754791716497358,0.175689943739231,0.895991481300425,0.905502018333637,0.83147647350951,0.067339805642862,-20.7466202785511,1.79646907376022,0.626893608384515,0.993961478885419,0.404784906181715,0.275052598002559,0.263515012015067,2.05239827555498,0.00507380262122465,1.56211968500232,0.184987663547143,1,-1,1,1
-5.06472266762648,-5.3789625986607,-1.20958362863357,-3.33238180491209,131.220083734322,-3.31640545118334,0.901382071668959,-5.83750842466928,0.663324948697678,0.170976196499437,0.845425838336643,0.914589141124011,0.835835971216543,0.10506572815769,-19.1918584781723,1.85960890744344,0.850058496079351,1.16964719590537,0.376201688951183,0.0735628869662715,0.297905724676538,1.3907263220587,0.0965293073012461,1.92150702621638,0.395072462845346,1,-1,-1,1
-5.06719020009515,-5.30145112512422,-1.44236841621728,-3.59380073134504,114.595152491083,-3.10561025327296,0.935789125229598,-4.99090038717751,0.591628859033357,0.513121540896909,0.745312802799653,0.913082860268033,0.84777749380962,0.0165333600545551,-19.0923517136134,1.73431914990395,0.701641598501958,1.3122225668406,0.346621475260911,0.177113911093555,0.265819629198527,0.896603928570015,0.025858065359508,1.43753616998882,0.157480819482371,1,-1,1,1
-5.24328874948323,-5.60130542618139,-1.15457710537372,-2.92356077663159,127.773802724537,-3.47959659030771,0.576650098790243,-5.53780943137697,0.644912477948089,0.292261352602355,0.941110099328928,0.91024584592595,0.855650160683449,0.0738980614562063,-20.0836235187565,1.84609584847614,0.507335367424498,0.28413268778594,0.408644508218997,0.28156774807854,0.27484754190316,2.07258504051365,0.456208089461073,1.23432860676447,0.0778092367562824,1,-1,1,1
